"Job Title",Company,Area,"Employer Email","Employer Contact Number",Salary,"Lower Salary Range","Upper Salary Range","Job Highlights","Job Description","Career Level",Qualification,"Years of Experience","Job Type","Company Website","Job Link","Job Functions",Industry,"Search Term","Date Posted","Date Scraped","Data Source",jobtick_avgsalary,jobtick_SQL,jobtick_Excel,jobtick_dashboard,jobtick_Python,jobtick_engineerjobs,jobtick_analystjobs,jobtick_scientistjobs
"Business Analyst (Data Analysis)","EC Healthcare","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Develop and built segmentation platform', 'Conduct commercial and financial analysis', 'Ensure a valid data analyzing process']","['Job Descriptions:', 'Develop strategic KPIs with the objective of controlling and enhancing the business procedures and customer experience', 'Conduct commercial (Sales and Sales related KPIs) and financial analysis (PL)', 'Assist the Project manager and work with the team to design, manage analytics projects and solution for generating useful business insights, correlation of brands and customer spending behavior', 'Develop and built segmentation platform for effective filtering of targeted customer list for enabling data driven marketing. Perform evaluation of segmentation used in different marketing channels', 'Work closely with various business units for user requirements collection and projects implementation', 'Support and align efforts to drive business process analysis meeting to support the Business Unit', 'Manage business expectations by developing a communication process to keep others up-to-date on project results; as well as performance tracking, as daily, weekly and monthly basis', 'Identify, create and facilitate process design changes by conducting business and systems process analysis and design at a complex level', 'Work on regular business performance reports for useful business insights', 'Ensure a valid data analyzing process\xa0including data extraction, manipulation, processing, storage, archival and more', 'Requirements:', 'Degree in Data Science, Business, Information Technology or related discipline', 'At least 2-years in-depth experience in data warehouse and BI platform, Tableau preferred', 'Experience in data analytics design and segmentation', 'Knowledge in SQL and Python coding or correlation calculation platform', 'Proficiency in relational databases and data integration tools', 'Good problem-solving skills', 'Ability to work independently under pressure', 'Self-motivated, work proactive and willing to learn new technology', 'Good presentation, interpersonal and communication skills', 'Excellent command of both spoken and written English and Chinese', 'Experienced in working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases is preferred.', 'Experienced in managing and developing data integration, ETL with data warehouse, Google Analytics, Google Tag Manager and BI platform is preferred.', 'Capability to maintain ETL processes is a plus']",Entry,"Not Specified",-1,"Full Time, Permanent","Not Specified",/hk/en/job/business-analyst-data-analysis-100003008838232,"Information Technology (IT), DBA, E-commerce, Product Management / Business Analyst, Data Scientist","Health & Beauty Care","Data Scientist",10-22-2021,22-10-2021,JobsDB,NULL,1,1,1,1,NULL,1,NULL
"Data Analyst Leader","A4lution Limited","Not Specified",NULL,"['3955 8549']","Not Specified",NULL,NULL,"['Drive automation of analytical projects', 'Innovate new technology for the company', 'Able to extract, the data into actionable insights']","['Responsibilities:', 'Work closely with senior management to understand their needs and provide actionable solutions for business', 'Understand core business needs, summarize into requirements and create clear specifications for developing the relevant analytics framework.', 'Lead a team to support the database, including data requirement management, data ingestion management and authorization management', 'Formulate organizational data strategy and data assets management, convert business requirements into technical requirements', 'Develop analytics reports and visualization dashboard for business monitoring and delivering insights', 'Drive automation of analytical projects', 'Responsible for data governance, inventory, acquisition, analysis and cleaning', 'Define new data collection and analysis processes', 'Interested in building a team', 'Innovate new technology for the company, such as Apache Spark, NOSQL database\xa0', 'Requirements:', 'Bachelor Degree or above in Computer Science/Mathematics/Statistics or related discipline', "5 years' or above experience in data analysis/data science", 'Able to extract, manipulate and transform the data into actionable insights', 'Solid experience in SQL, Python and ExcelVBA', 'Solid experience in visualization tools, such as PowerBI/Tableau', 'Ability to present the business ideas to technical and non-technical senior management', 'Excellent communication skill in both verbal and written English', 'Experience in machine learning is a plus', 'Working Location & Times', 'Location: Kwun Tong', 'Working day: Monday – Friday', 'Working Time: 10:00 - 19:00', 'Benefits:', 'Five-day work', 'Public Holiday', 'Medical Allowance', 'Birthday leave', 'Maternity leave', 'Paternity leave', 'Friendly Working Environment', 'Please apply with full resume and expected salary, you may contact Ms. Emily Ng by 3955 8549 or ', 'by', ' email.', '(All personal data collected are for recruitment purposes only.)']",Senior,Degree,3,"Full Time","Not Specified",/hk/en/job/data-analyst-leader-100003008838120,"Information Technology (IT), Data Scientist",Others,"Data Scientist",10-22-2021,22-10-2021,JobsDB,NULL,1,1,1,1,NULL,1,NULL
"Data Analyst – Campaign Specialist","now TV","Not Specified",NULL,"['2827 8322']","Not Specified",NULL,NULL,"['Interpret & analyze data for campaign evaluation', 'Utilize analytics or machine learning technique', 'Immediately available is highly preferable']","['The Job:', 'Hands on experience in conducting daily campaign processes, including start-to-finish scope using different programming languages and marketing automation software', 'Interpret data, analyze results using statistical techniques for campaign evaluation to optimize effectiveness of marketing campaigns.', 'Utilize analytics or machine learning technique to shape the CRM strategy by turning data into actionable insights', 'Collect, understand & convert business ', 'r', 'equirements into technical specifications, and coordinate with development teams to conduct UAT for in-house-developed targeting databases.', 'The Person:', 'University graduate in Statistics, Data Science, Business Analysis and Computer Science/Information System or relevant discipline', 'Hands on experience in using different campaign tools, e.g. SAS Customer Intelligence Studio, Radica or Emarsys is preferred.', 'Strong technical experience including proficiency in SAS (including EM/EG/VIYA) & SQL and superior knowledge of Excel.', 'At least 2 years’ analytical experience with high data volume environments, preferably in software, internet, media or telecom industry.', 'Self-motivated and able to accomplish multiple tasks', 'Strong problem solving skills and able to work under tight timeline.', 'Good command in both spoken and written English.', 'Immediately available is highly preferable.', 'We offer attractive and competitive salary and benefits, an exciting work environment and excellent career development opportunities.\xa0If you have the desire for an exciting and rewarding career, please send us your resume,\xa0stating your present and expected salary to Human Resources Department by post, fax or clicking "Apply Now"', ':', 'Post:\xa0\xa0 \xa0\xa06/F, Goldin Financial Global Centre, 17 Kai Cheung Road, Kowloon Bay', '\xa0', 'Fax:\xa0\xa0\xa0\xa0 (852) 2827 8322\xa0', '\xa0', 'For more information on other job opportunities of PCCW, please visit our website at <', 'http://www.pccw.com/Careers/Job+Opportunities+&+Application/Current+Opportunities?language=en_US', '>', 'PCCW is an equal opportunity employer and welcomes applications from all qualified candidates. Information provided will be treated in strict confidence and will only be used for recruitment-related purposes. Personal data provided by job applicants will be used strictly in accordance with the employer’s privacy statement\xa0', '(', 'www.pccw.com/privacy-statement/index.page', '), a copy of which will be provided immediately upon request.']",Entry,Degree,1,"Full Time",http://www.pccw.com,/hk/en/job/data-analyst-campaign-specialist-100003008838088,"Marketing / Public Relations, Others, Information Technology (IT), Data Scientist",Telecommunication,"Data Scientist",10-22-2021,22-10-2021,JobsDB,NULL,1,1,NULL,NULL,NULL,1,NULL
"Consultant / Senior Consultant - Data Scientist - Digital - Hong Kong","Deloitte Global Services Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['data scientist', 'digital', 'tableau']","['About Technology', 'Deloitte Digital is a bold and innovative part of Deloitte Consulting, a world leading management consulting practice. We offer everything digital from strategy, multi-channel, bespoke development and managed solutions. Deloitte Digital is an innovative leader in online and mobile strategy, design and development, offering world-class knowledge and resources from the leading global business and technology consultancy. We work with a wide range of iconic local and global organizations, helping them understand and profit from the online and mobile revolution.', "Work you'll do", 'Use statistics, data mining, machine learning, and deep learning techniques to deliver data-driven insights for our clients', 'Working collaboratively with diverse teams to understand client’s challenges and translate client’s business questions into quantitative problems', 'Structure, break down, and solve complex problems through quantitative thinking and analysis', 'Facilitate the development of “request for proposals” responses and contract development', 'Actively follow AI trends and bring value to the data community', '#LI-WINSHI', "A fit for the role? Let's talk about you.", 'Bachelor or Master degree in Computer Science, Statistics, Mathematics, Data Science, Econometrics, or related disciplines', 'Minimum 2 years of\xa0experience in data science/data analysis with a proven track record of leveraging\xa0large amounts of data to derive in-depth business insight', 'Possess strong technical skills, must be proficient in Python and SQL', 'Familiarise with various machine learning algorithms and libraries (e.g. XGBoost, LightGBM, scikit-learn, xLearn, TensorFlow, etc.)', 'Hands-on experience with NLP and computer vision projects is a plus', 'Proficiency in data visualization tools such as Tableau is a plus', 'Experience in developing model\xa0including, segmentation, CLV, and recommendation is a plus', 'Familiar with\xa0Cloud machine learning tools, e.g. AWS sagemaker, GCP Vertex AI', 'Experience on MLOps and DevOps solution architecture design is a plus', 'Experience in handling social and digital behavioral data is a plus', 'Open-minded and self-motivated with good interpersonal and communication skills as well as a strong sense of responsibility']",Entry,Degree,2,"Full Time",http://www.deloitte.com,/hk/en/job/consultant-senior-consultant-data-scientist-digital-hong-kong-100003008830946,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Others","Accounting/Audit/Tax Services","Data Scientist",10-21-2021,22-10-2021,JobsDB,NULL,1,NULL,1,1,NULL,NULL,1
"Business Intelligence Assistant / Data Analyst (ETL, PowerBI, Python, Data Analytics) (HKD16k – 26k)","Lloyd Karson International Limited","Not Specified",NULL,NULL,"HK$17K - 25K /month ",17,25,"['Experience with Python', 'Good Data Analytics experience', 'Exposure to PowerBI is a plus']","['The client is a global prestigious MNC Insurance Group, is now seeking a new headcount for', ' Business Intelligence Assistant / Data Analyst (ETL, PowerBI, Python, Data Analytics) (HKD16k – 26k) ', 'to join their team', '\xa0', 'Responsibilities:', 'Perform ETL/ ELT, data modeling and dashboard building', 'Troubleshoot issues on BI reports and dashboards', 'Working with stakeholders across all functions, to understand their needs and how to factor them into the automation and analytics models', 'Interpret information requirements from business users and translating them into reporting solutions', 'Requirements:', 'Degree in Computer Science/ Engineering/ Information Systems/ Statistics or a related discipline', '1+ years of experience in business intelligence and data analytics', 'Proficient in converting business requirements into data model solutions and visualization', 'Strong commercial and practical experience with data visualization, dashboard, and report development', 'Experience in SQL, Power BI, Python is a must; knowledge in tools like Alteryx or Azure Machine Learning Studio would also be an advantage', 'High energy, self-motivation, and ability to thrive in a fast-paced working environment with a customer focused attitude', 'Proficient in spoken and written English is necessary', 'Candidates with more experience will be considered for other position', '\xa0', 'If you would like to apply for Business Intelligence Assistant / Data Analyst (ETL, PowerBI, Python) (HKD16k – 26k) role or find out more, please click "Apply Now" or send your resume to arthurwong(at)lloydkarson.com quoting the reference: 134313']",Entry,Degree,1,"Full Time, Permanent","Not Specified",/hk/en/job/business-intelligence-assistant-data-analyst-etl-powerbi-python-data-analytics-hkd16k-26k-100003008837642,"Professional Services, Business Analysis / Data Analysis, Marketing / Public Relations, Others, Information Technology (IT), Data Scientist","Human Resources Management/Consultancy","Data Scientist",10-22-2021,22-10-2021,JobsDB,21,1,NULL,1,1,NULL,1,NULL
"BI Data Analyst (Virtual Bank)","Welab Bank Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Build dashboards and develop insights for business', 'Provide first line support for local data issues', 'Familiar with big data platform']","['WeLab is a leading fintech company in Asia, \xa0which operates one of first licensed digital banks in Asia – WeLab Bank, as well as multiple leading online financial services businesses including WeLend and WeLab Bank in Hong Kong, WeLab Digital (我来数科), Taoxinji (淘新机), Wallet Gugu (钱夹谷谷) and Tianmian Tech (天冕科技)\xa0in Mainland China and Maucash in Indonesia. WeLab aims to bring joy to everyone’s financial journey. We strive to improve people’s lives by reinventing financial services through game-changing technology. We put our people first, whether it’s our customers or our employees.', 'As the only homegrown Hong Kong fintech to receive a virtual banking license, we aim to reinvent and redefine the banking experience by building a bank we love.', 'We are an energetic and passionate team that can deliver and execute. We are looking for other intellectually curious, open-minded and smart-working individuals who are just as passionate as we are about making financial services enjoyable. Now you have the opportunity to join us on our journey to achieve our vision and be part of building a better financial future for everyone.', '\xa0About you:', "You're a go-getter with mad juggling skills (or multiple hats) who can thrive in a fast-paced, agile environment", "You have a strong thirst for knowledge and are driven to find solutions that don't exist yet", "You are comfortable with ambiguity and extremely resourceful (in your past life you could've been a detective)", 'You always find a way to get things done without sacrificing the quality of your work, integrity and values. No task is off limits for you.', 'You are humble and prioritize the success of the team over your own with an eagerness to help those around you', "You don't shy away from challenges and have the ability to bounce back from setbacks", 'What you’ll do and what success looks like in this role', 'Build dashboards and develop insights for business units, including management dashboards, regular reports, and ad-hoc analysis.', 'Develop statistical and propensity models in customer segmentation and retention strategies for maximizing the sales and revenue growth, product profitability analysis etc', 'Retrieve and collect unstructured and structured data sources to build up the ‘customer 360 view’ (including 3rd party solutions/ platforms integrations) to perform data processing, cleansing and verification.', 'Provide first line support for local data issues, maintain best practices for Data Management and provide support where necessary for the data projects', 'Implement and support the Data Governance roadmap, focusing on data handling, data usage, data curation, and data quality through policy, auditing, and collaboration.\xa0', "Design and maintain data dictionary/catalog documents. Identify and maintain data owners and stewards of the company's information assets.\xa0", 'Collaborate with the Tech team in creating technology platforms across Data Lake / Data Visualization / Data Analytics Solutions', 'What is required and what we’re looking for', '\xa0', 'Minimum 3 years in an analytics role in digital, product or marketing', 'Degree holder in Data Science, Information Technology, Statistics or other related disciplines', 'Familiar with big data platform including Data Lake, HDInsight, Hadoop, Spark, etc., have experiences of developing data warehouse', 'Excellent skills on SQL, with understanding of database structure, model design and segmentation techniques', 'Proficiency in Python or R and its application in data analysis', 'Demonstrated ability in implementing Data Governance programs: heavy emphasis on developing and implementing data standards, policies, practices, and procedures that lead to substantive improvements in data management and quality.\xa0', 'Being familiar with CRM and digital analytics tools (e.g. google analytics) would be an advantage', 'Ability to work independently and strategically, open to tackling new issues and sounding out new ideas', 'A proactive and can-do attitude', 'Excellent communication skills in English, Cantonese, and Mandarin', 'WeLab perks:', 'Competitive salary', 'Learning and development stipend, because we value lifelong learning and believe the best way to invest in our employees is to encourage them to continue to learn', 'Work hard and laugh lots (chicken wings and french toast, etc.) with a high-performing, fun and diverse team', 'Happiness Dollars for spending on anything that makes you happy', 'Coffee stipend', 'Conveniently located office surrounded by diverse and delicious lunch options', 'Lively office with gaming consoles and a ping pong table', 'Fun extracurricular activities with your colleagues like hiking, yoga, badminton, wine tasting, dragon boat racing, rock climbing, etc.', 'Employee referral bonuses', 'Awards & recognition:', 'Financial Times (FT) 2020 Asia-Pacific High-Growth Companies – #2 ranked company', '2020 CNBC Disruptor 50 List –\xa0', '#11', ', only company included from Hong Kong and just one of five from Asia', 'We offer competitive salary package to the successful candidate.\xa0 If you are interested in joining this exciting team, please apply with resume via the "Apply" button below.', 'All information provided by applicants will be used for recruitment purposes only. Information of unsuccessful applicants will be destroyed within 24 months of receipt.']",Entry,"Not Specified",-1,"Full Time","Not Specified",/hk/en/job/bi-data-analyst-virtual-bank-100003008830788,"Banking / Finance, Analyst, Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist","Financial Services","Data Scientist",10-20-2021,22-10-2021,JobsDB,NULL,1,1,NULL,1,NULL,1,NULL
"Data Analyst – (CRM, Data Analytics, Business Insight (B2B)) (Python) (HKD18k – 26k)","Lloyd Karson International Limited","Not Specified",NULL,NULL,"HK$20K - 30K /month ",20,30,"['Solid experience in Python', 'Data Analyst experience on CRM is a plus', 'Data Analytics and reporting']","['The client is a global prestigious MNC Insurance Group, is now seeking a new headcount for', ' Data Analyst – (CRM, Data Analytics, Business Insight (B2B)) (Python) (HKD18k – 26k) ', 'to join their team', 'Responsibilities:', 'Work on data analytics, reporting and visualization to draw insights and support decision making', 'Support quantitative analysis and communicate business insights to management', 'Manage CRM program operations including data analysis, customer segmentation, promotion initiatives, reporting and insight sharing', 'Contribute to the optimization and continuous improvement of data designs, guidelines, frameworks and practices', 'Contribute towards the implementation, development and evolution of technologies across all areas of the business', 'Interpret information requirements from business users and translating them into reporting solutions', 'Requirements:', 'Degree holder, preferably in Computer Science/ Engineering/ Information Systems/ Statistics or other related discipline', 'Over 2 years of relevant working experience, preferably in business process automation or business process analysis', 'Knowledge on analytics and programming (Python)', 'Commercial and practical experience with data visualization, dashboard, and report development is advantageous', 'Proficient in spoken and written English is necessary', 'Fast learner with high energy and ability to thrive in a fast-paced working environment with a customer focused attitude', 'Good analytical mind, self-motivated and able to work under minimal supervision', 'If you would like to apply Data Analyst – (CRM, Data Analytics, Business Insight (B2B)) (Python) (HKD18k – 26k) role or find out more, please click "Apply Now" or send your resume to arthurwong(at)lloydkarson.com quoting the reference: 134453']",Entry,Degree,1,"Full Time, Permanent","Not Specified",/hk/en/job/data-analyst-crm-data-analytics-business-insight-b2b-python-hkd18k-26k-100003008837589,"Professional Services, Business Analysis / Data Analysis, Marketing / Public Relations, Others, Information Technology (IT), Data Scientist","Human Resources Management/Consultancy","Data Scientist",10-22-2021,22-10-2021,JobsDB,25,NULL,NULL,NULL,1,NULL,1,NULL
"Lead Data Scientist / Senior Data Scientist (Virtual Bank)","Welab Bank Limited","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Data modelling, machine learning, deep learning', 'Generate innovative solutions', 'Drive and manage multiple projects']","['WeLab operates WeLend and WeLab Bank in Hong Kong, WeLab Digital (我来数科), Taoxinji (淘新机) and Tianmian Lab (天冕) in Mainland China and a fintech joint venture AWDA in Indonesia. WeLab aims to bring joy to everyone’s financial journey. We strive to improve people’s lives by reinventing financial services through game-changing technology. We put our people first, whether it’s our customers or our employees.', 'As the only homegrown Hong Kong fintech to receive a virtual banking license, we aim to reinvent and redefine the banking experience by building a bank we love.', 'We are an energetic and passionate team that can deliver and execute. We are looking for other intellectually curious, open-minded and smart-working individuals who are just as passionate as we are about making financial services enjoyable. Now you have the opportunity to join us on our journey to achieve our vision and be part of building a better financial future for everyone.', 'About you:', "You're a go-getter with mad juggling skills (or multiple hats) who can thrive in a fast-paced, agile environment", "You have a strong thirst for knowledge and are driven to find solutions that don't exist yet", "You are comfortable with ambiguity and extremely resourceful (in your past life you could've been a detective)", 'You always find a way to get things done without sacrificing the quality of your work, integrity and values. No task is off limits for you.', 'You are humble and prioritize the success of the team over your own with an eagerness to help those around you', "You don't shy away from challenges and have the ability to bounce back from setbacks", 'About this role:', 'As a Lead Data Scientist / Senior Data Scientist, you are responsible for extracting insights and value from their data using sophisticated analytical tools and techniques. You will support Head of BI in all phases of analytics projects including question formulation, design, research and development, implementation, and testing. You will help to generate business insight and produce actionable metrics from data collection, aggregation, and visualization.', 'What you’ll do and what success looks like in this role:', 'Identify business opportunities by applying data modelling, machine learning, deep learning and NLP to identify opportunities, and make valuable discoveries leading to better business decision making', 'Play a vital role in generating innovative solutions by exploratory data analysis from complex and high-dimensional datasets, both structured and unstructured, applying advanced statistical, data mining, and machine-learning techniques.', 'Generate and test hypotheses, analyse and interpret the results of product experiments', 'Drive and manage multiple projects from research, planning, designing to final delivery', 'Work with business units to translate prototypes into new products, services, and features', 'Work closely with internal teams on project planning and execution', 'Identify new analytics tools and techniques and lead development and deployment of infrastructure for generating and analysing information', 'What is required and what we’re looking for:', 'Minimum 7 years in an analytics role in digital, product or marketing', 'Degree holder in Data Science,\xa0Information Technology,\xa0Statistics or other related disciplines', 'Demonstrable professional experience in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing (A/B testing), NLP, deep learning and optimization algorithms', 'Excellent skills on R, Revolution R, SAS, SPSS or SQL, with understanding of database structure, model design and segmentation techniques', 'Ability to work independently and strategically, open to tackling new issues and sounding out new ideas.', 'Able to explain analytical methodologies and concepts in non-technical language', 'A proactive and can-do attitude', 'Excellent communication skills in English, Mandarin and Cantonese.\xa0', 'WeLab perks:', 'Competitive salary', 'Learning and development stipend, because we value lifelong learning and believe the best way to invest in our employees is to encourage them to continue to learn', 'Work hard and laugh lots (chicken wings and french toast, etc.) with a high-performing, fun and diverse team', 'Happiness Dollars for spending on anything that makes you happy', 'Coffee stipend', 'Conveniently located office surrounded by diverse and delicious lunch options', 'Lively office with gaming consoles and a ping pong table', 'Fun extracurricular activities with your colleagues like hiking, yoga, badminton, wine tasting, dragon boat racing, rock climbing, etc.', 'Employee referral bonuses', 'Awards & recognition:', 'Financial Times (FT) 2020 Asia-Pacific High-Growth Companies – #2 ranked company', '2020 CNBC Disruptor 50 List – #11, only company included from Hong Kong and just one of five from Asia', 'We offer competitive salary package to the successful candidate.\xa0 If you are interested in joining this exciting team, please apply with resume via the "Apply" button.', 'All information provided by applicants will be used for recruitment purposes only. Information of unsuccessful applicants will be destroyed within 24 months of receipt.']",Senior,"Not Specified",-1,"Full Time, Permanent","Not Specified",/hk/en/job/lead-data-scientist-senior-data-scientist-virtual-bank-100003008838170,"Banking / Finance, Analyst, Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist","Financial Services","Data Scientist",10-22-2021,22-10-2021,JobsDB,NULL,1,1,NULL,NULL,NULL,NULL,1
"Data Analyst – Data Modelling and Customer Analytic","now TV","Not Specified",NULL,"['2827 8322']","Not Specified",NULL,NULL,"['Solid exp in AI capacity & predictive modeling', 'Identifying significant business insights', 'Immediately available is highly preferable']","['The Job:', 'Solid experience in AI capacity & predictive modeling, optimization, statistical analysis and/or similar data driven business solutions;', 'Identifying significant business insights and customer behavioral patterns by performing data mining / analytic for better shaping targeted marketing initiatives;', 'Interpret data, analyze results using statistical techniques and provide ongoing BI and business reports;', 'Collect, understand & convert business requirements into technical specifications, and coordinate with development team to conduct user acceptance test of in-house-developed / external vendor developed applications', 'The Person:', 'University graduate in Statistics, Data Science, Computer Science/Information System & Mathematics or relevant discipline', 'Strong technical experience including proficiency in SAS (including EM/EG/VIYA) & SQL and superior knowledge of Excel.', 'Hands on machine learning techniques including logistic regression, decision tree, clustering, neutral network is preferred.', 'At least 2 years’ analytical experience with high data volume environments, preferably in software, internet, media or telecom industry.', 'Self-motivated and able to accomplish multiple tasks', 'Strong problem solving skills and able to work under tight timeline.', 'Good command in both spoken and written English.', 'Immediately available is highly preferable.', 'Candidates with more experience will be considered as Assistant Manager.', 'We offer attractive and competitive salary and benefits, an exciting work environment and excellent career development opportunities.\xa0If you have the desire for an exciting and rewarding career, please send us your resume,\xa0stating your present and expected salary to Human Resources Department by post, fax or clicking "Apply Now"', ':', 'Post:\xa0\xa0 \xa0\xa06/F, Goldin Financial Global Centre, 17 Kai Cheung Road, Kowloon Bay', '\xa0', 'Fax:\xa0\xa0\xa0\xa0 (852) 2827 8322\xa0', '\xa0', 'For more information on other job opportunities of PCCW, please visit our website at <', 'http://www.pccw.com/Careers/Job+Opportunities+&+Application/Current+Opportunities?language=en_US', '>', 'PCCW is an equal opportunity employer and welcomes applications from all qualified candidates. Information provided will be treated in strict confidence and will only be used for recruitment-related purposes. Personal data provided by job applicants will be used strictly in accordance with the employer’s privacy statement\xa0', '(', 'www.pccw.com/privacy-statement/index.page', '), a copy of which will be provided immediately upon request.']",Entry,Degree,2,"Full Time",http://www.pccw.com,/hk/en/job/data-analyst-data-modelling-and-customer-analytic-100003008838089,"Marketing / Public Relations, Others, Information Technology (IT), Data Scientist",Telecommunication,"Data Scientist",10-22-2021,22-10-2021,JobsDB,NULL,1,1,NULL,NULL,NULL,1,NULL
"Data Scientist","High Fashion Group","Not Specified",NULL,NULL,"Not Specified",NULL,NULL,"['Proficient in Python/ R, SQL, PowerBI', 'Analyze big data in product design', 'Applies advanced statistical and predictive modeli']","['Responsibilities :', 'Perform statistical analysis on multiple data sets to build scalable enterprise analytics solutions', 'Select features, build and optimize classifiers using various machine learning techniques for Computer Vision and Trend Forecasting purposes', 'Applies advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple decision systems', 'Analyze big data in product design, pricing strategies, sales opportunities, etc.,', 'Requirements:', '5+ years of work experience with big datasets and data projects', 'Proficient in Python/ R, SQL, PowerBI', 'Good understanding or experience in cloud platform (AWS/ Azure/ Google Cloud)', 'Proactive and research mindset, with ability to adapt and multi-task', "Bachelor's / Master's Degree with major in Mathematics, Statistics or related discipline", 'Experience working with big datasets and on large scale analytical projects', 'Knowledge on various machine learning techniques including clustering, decision trees, neural networks and their real-world advantages/drawbacks', 'Experience with data visualization tools/packs, such as Power BI, Tableau etc.', 'Interested candidates, please click Apply Now.']",Middle,Degree,5,"Full Time",http://www.highfashion.com.hk,/hk/en/job/data-scientist-100003008829318,"Information Technology (IT), Data Scientist",Clothing/Garment/Textile,"Data Scientist",10-20-2021,22-10-2021,JobsDB,NULL,1,NULL,1,1,NULL,NULL,1
